1::=::竞聘材料动态升级::=::将我的 [基层经历/项目列表] 转化为'战略高度+全局视野'表达，每项经历追加'对当前 XX 工作的启示'。{::}
1::=::工作总结结构输出::=::请帮我写以下基层党建总结提纲，要求每部分填充 3 个具体案例，数据用 [X] 替代。保持对仗工整的小标题，结尾增加下一步工作计划。[粘贴原始提纲]{::}
1::=::政策文件灵魂解读::=::用通俗语言总结 [文件名称] 中对 [某领域] 的新规。要求：① 快速消化上级文件，精准汇报关键点。② 对比新旧政策差异。③ 列出基层单位可能面临的 3 个执行难点。[附政策文件]{::}
1::=::调研报告深度优化::=::将以下调研记录整理为正式报告，按现状 - 问题 - 建议结构编排。要求：① 问题部分用"一是...二是"句式归纳。② 建议对应问题分条提出。③ 添加过渡句衔接段落。[粘贴调研素材]{::}
1::=::创作科技类公众号推文::=::我想写一篇科技类公众号推文，文章主题是 “人工智能在医疗领域的应用”，客户群特征为年龄在 25 - 45 岁，对科技和健康领域感兴趣，多为职场人士和科技爱好者。内容风格希望是严谨中带点趣味性，字数控制在 800 字左右。请按流程引导我，先收集信息确认是否进行下一步，然后拟出选题灵感、可选标题、大纲，再写文章，包括摘要和正文，最后让我修改润色并检查语病{::}
1::=::撰写美食类公众号文章::=::我要创作一篇美食类公众号文章，字数大概 600 字，客户群特征是 18 - 30 岁的年轻人，喜欢尝试新美食、分享美食体验。文章主题为 “当地特色小吃探店分享”，内容风格轻松活泼。请按步骤操作，引导我完成信息收集后，依次进行选题、标题、大纲、文章创作及修改润色环节{::}
1::=::生成情感类公众号推文::=::我希望生成一篇情感类公众号推文，字数在 700 字上下，客户群特征为 20 - 35 岁的上班族，情感丰富，喜欢在情感故事中寻找共鸣。文章主题是 “异地恋的那些酸甜苦辣”，内容风格偏向抒情。请按流程，引导我完成各步骤，包括信息收集、选题策划、标题拟定、大纲设计、文章撰写和修改润色{::}
